Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  13.3936 | w0: 1.0000 | r0: 0.1654 | st0: 1.0433 | sd0: 0.9958 | gamma0: 0.000000 | gamma_off | lr : 0.18487219 
Step: 1 | Loss: 165.5195 | w0: 1.0000 | r0: 0.1245 | st0: 1.0913 | sd0: 1.0056 | gamma0: 0.000000 | gamma_off | lr : 0.18487219 
Step: 0 | Loss:  12.2956 | w0: 1.0000 | r0: 0.1678 | st0: 1.0383 | sd0: 0.9955 | gamma0: 0.000000 | gamma_off | lr : 0.18435193 
Step: 1 | Loss: 149.3001 | w0: 1.0000 | r0: 0.1239 | st0: 1.0895 | sd0: 1.0020 | gamma0: 0.000000 | gamma_off | lr : 0.18435193 
Step: 0 | Loss:  19.4733 | w0: 1.0000 | r0: 0.1719 | st0: 1.0325 | sd0: 0.9943 | gamma0: 0.000000 | gamma_off | lr : 0.18382368 
Step: 1 | Loss: 147.3349 | w0: 1.0000 | r0: 0.1262 | st0: 1.0848 | sd0: 0.9982 | gamma0: 0.000000 | gamma_off | lr : 0.18382368 
Step: 0 | Loss:  26.1313 | w0: 1.0000 | r0: 0.1761 | st0: 1.0268 | sd0: 0.9934 | gamma0: 0.000000 | gamma_off | lr : 0.18328749 
Step: 1 | Loss: 174.8331 | w0: 1.0000 | r0: 0.1296 | st0: 1.0777 | sd0: 0.9946 | gamma0: 0.000000 | gamma_off | lr : 0.18328749 
Step: 0 | Loss:  25.2223 | w0: 1.0000 | r0: 0.1810 | st0: 1.0204 | sd0: 0.9934 | gamma0: 0.000000 | gamma_off | lr : 0.18274341 
Step: 1 | Loss: 162.5131 | w0: 1.0000 | r0: 0.1330 | st0: 1.0739 | sd0: 0.9923 | gamma0: 0.000000 | gamma_off | lr : 0.18274341 
Step: 0 | Loss:  29.9937 | w0: 1.0000 | r0: 0.1876 | st0: 1.0134 | sd0: 0.9927 | gamma0: 0.000000 | gamma_off | lr : 0.18219150 
Step: 1 | Loss: 135.1567 | w0: 1.0000 | r0: 0.1384 | st0: 1.0687 | sd0: 0.9910 | gamma0: 0.000000 | gamma_off | lr : 0.18219150 
Step: 0 | Loss:  36.1019 | w0: 1.0000 | r0: 0.1948 | st0: 1.0061 | sd0: 0.9919 | gamma0: 0.000000 | gamma_off | lr : 0.18163181 
Step: 1 | Loss: 124.2981 | w0: 1.0000 | r0: 0.1439 | st0: 1.0652 | sd0: 0.9906 | gamma0: 0.000000 | gamma_off | lr : 0.18163181 
Step: 0 | Loss:  42.1371 | w0: 1.0000 | r0: 0.2034 | st0: 0.9980 | sd0: 0.9913 | gamma0: 0.000000 | gamma_off | lr : 0.18106440 
Step: 1 | Loss: 179.4675 | w0: 1.0000 | r0: 0.1483 | st0: 1.0651 | sd0: 0.9907 | gamma0: 0.000000 | gamma_off | lr : 0.18106440 
tick 2     kimg 2.1       time 1m 13s       sec/tick 32.2    sec/kimg 31.45   maintenance 0.0    gpumem 4.63   reserved 4.94  
Step: 0 | Loss:  32.3241 | w0: 1.0000 | r0: 0.2121 | st0: 0.9893 | sd0: 0.9923 | gamma0: 0.000000 | gamma_off | lr : 0.18048933 
Step: 1 | Loss: 122.9778 | w0: 1.0000 | r0: 0.1496 | st0: 1.0715 | sd0: 0.9913 | gamma0: 0.000000 | gamma_off | lr : 0.18048933 
Step: 0 | Loss:  15.9823 | w0: 1.0000 | r0: 0.2206 | st0: 0.9810 | sd0: 0.9947 | gamma0: 0.000000 | gamma_off | lr : 0.17990666 
Step: 1 | Loss: 144.6350 | w0: 1.0000 | r0: 0.1531 | st0: 1.0796 | sd0: 0.9924 | gamma0: 0.000000 | gamma_off | lr : 0.17990666 
