Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss: 133.5825 | w0: 1.0000 | r0: 0.1361 | st0: 0.8915 | sd0: 0.9971 | gamma0: 0.012387 | lr : 0.19317346 
Step: 0 | Loss:   1.9723 | w0: 1.0000 | r0: 0.2753 | st0: 0.8364 | sd0: 0.9997 | gamma0: 0.000000 | lr : 0.19281410 
Step: 1 | Loss: 114.7407 | w0: 1.0000 | r0: 0.1327 | st0: 0.8911 | sd0: 0.9968 | gamma0: 0.012058 | lr : 0.19281410 
Step: 0 | Loss:   3.2703 | w0: 1.0000 | r0: 0.2723 | st0: 0.8341 | sd0: 0.9986 | gamma0: 0.000000 | lr : 0.19244589 
Step: 1 | Loss: 114.4081 | w0: 1.0000 | r0: 0.1309 | st0: 0.8906 | sd0: 0.9974 | gamma0: 0.011752 | lr : 0.19244589 
Step: 0 | Loss:   2.6129 | w0: 1.0000 | r0: 0.2697 | st0: 0.8320 | sd0: 0.9985 | gamma0: 0.000000 | lr : 0.19206887 
Step: 1 | Loss: 126.3556 | w0: 1.0000 | r0: 0.1282 | st0: 0.8924 | sd0: 0.9986 | gamma0: 0.011461 | lr : 0.19206887 
Step: 0 | Loss:   2.5606 | w0: 1.0000 | r0: 0.2676 | st0: 0.8301 | sd0: 0.9987 | gamma0: 0.000000 | lr : 0.19168309 
Step: 1 | Loss: 125.3949 | w0: 1.0000 | r0: 0.1257 | st0: 0.8954 | sd0: 1.0000 | gamma0: 0.011204 | lr : 0.19168309 
Step: 0 | Loss:   1.7205 | w0: 1.0000 | r0: 0.2665 | st0: 0.8285 | sd0: 0.9995 | gamma0: 0.000000 | lr : 0.19128857 
Step: 1 | Loss: 170.2137 | w0: 1.0000 | r0: 0.1255 | st0: 0.8999 | sd0: 1.0001 | gamma0: 0.011020 | lr : 0.19128857 
Step: 0 | Loss:   3.0111 | w0: 1.0000 | r0: 0.2633 | st0: 0.8272 | sd0: 1.0006 | gamma0: 0.000000 | lr : 0.19088535 
Step: 1 | Loss: 131.9858 | w0: 1.0000 | r0: 0.1263 | st0: 0.9048 | sd0: 0.9997 | gamma0: 0.010810 | lr : 0.19088535 
Step: 0 | Loss:   4.1074 | w0: 1.0000 | r0: 0.2600 | st0: 0.8260 | sd0: 1.0011 | gamma0: 0.000000 | lr : 0.19047349 
Step: 1 | Loss: 138.2560 | w0: 1.0000 | r0: 0.1287 | st0: 0.9076 | sd0: 0.9981 | gamma0: 0.010570 | lr : 0.19047349 
Step: 0 | Loss:   4.2784 | w0: 1.0000 | r0: 0.2557 | st0: 0.8252 | sd0: 1.0014 | gamma0: 0.000000 | lr : 0.19005301 
