Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss:   1.0716 | w0: 1.0000 | r0: 0.5017 | st0: 0.9545 | sd0: 0.9956 | gamma0: 0.000892 | lr : 0.09557089 
Step: 2 | Loss: 184.5873 | w0: 1.0000 | r0: 0.1432 | st0: 0.9083 | sd0: 1.0025 | gamma0: 0.001452 | lr : 0.09557089 
Step: 0 | Loss:   2.4135 | w0: 1.0000 | r0: 0.1828 | st0: 0.8121 | sd0: 1.0015 | gamma0: 0.000000 | lr : 0.09182012 
Step: 1 | Loss:   1.0672 | w0: 1.0000 | r0: 0.5026 | st0: 0.9525 | sd0: 0.9967 | gamma0: 0.000864 | lr : 0.09182012 
Step: 2 | Loss: 167.4328 | w0: 1.0000 | r0: 0.1407 | st0: 0.9118 | sd0: 1.0031 | gamma0: 0.001416 | lr : 0.09182012 
Step: 0 | Loss:   2.7683 | w0: 1.0000 | r0: 0.1832 | st0: 0.8118 | sd0: 1.0017 | gamma0: 0.000000 | lr : 0.08809020 
Step: 1 | Loss:   0.9501 | w0: 1.0000 | r0: 0.5073 | st0: 0.9520 | sd0: 0.9977 | gamma0: 0.000842 | lr : 0.08809020 
Step: 2 | Loss: 219.8246 | w0: 1.0000 | r0: 0.1387 | st0: 0.9152 | sd0: 1.0038 | gamma0: 0.001380 | lr : 0.08809020 
Step: 0 | Loss:   3.4045 | w0: 1.0000 | r0: 0.1838 | st0: 0.8115 | sd0: 1.0019 | gamma0: 0.000000 | lr : 0.08438701 
Step: 1 | Loss:   1.3435 | w0: 1.0000 | r0: 0.5113 | st0: 0.9521 | sd0: 0.9986 | gamma0: 0.000821 | lr : 0.08438701 
Step: 2 | Loss: 243.2121 | w0: 1.0000 | r0: 0.1391 | st0: 0.9179 | sd0: 1.0041 | gamma0: 0.001346 | lr : 0.08438701 
Step: 0 | Loss:   3.8642 | w0: 1.0000 | r0: 0.1847 | st0: 0.8112 | sd0: 1.0021 | gamma0: 0.000000 | lr : 0.08071642 
Step: 1 | Loss:   1.0638 | w0: 1.0000 | r0: 0.5158 | st0: 0.9520 | sd0: 0.9994 | gamma0: 0.000805 | lr : 0.08071642 
Step: 2 | Loss: 184.5680 | w0: 1.0000 | r0: 0.1404 | st0: 0.9201 | sd0: 1.0042 | gamma0: 0.001313 | lr : 0.08071642 
