Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss:   0.7980 | w0: 1.0000 | r0: 0.4974 | st0: 1.0259 | sd0: 1.0021 | gamma0: 0.000000 | gamma_off | lr : 0.19249329 
Step: 2 | Loss:  87.0013 | w0: 1.0000 | r0: 0.1325 | st0: 0.9027 | sd0: 0.9919 | gamma0: 0.000000 | gamma_off | lr : 0.19249329 
Step: 0 | Loss:  23.3620 | w0: 1.0000 | r0: 0.2250 | st0: 0.8403 | sd0: 0.9928 | gamma0: 0.000000 | gamma_off | lr : 0.19173520 
Step: 1 | Loss:   1.5524 | w0: 1.0000 | r0: 0.4877 | st0: 1.0212 | sd0: 1.0022 | gamma0: 0.000000 | gamma_off | lr : 0.19173520 
Step: 2 | Loss:  98.8822 | w0: 1.0000 | r0: 0.1335 | st0: 0.9036 | sd0: 0.9934 | gamma0: 0.000000 | gamma_off | lr : 0.19173520 
Step: 0 | Loss:  14.9238 | w0: 1.0000 | r0: 0.2426 | st0: 0.8349 | sd0: 0.9942 | gamma0: 0.000000 | gamma_off | lr : 0.19094238 
Step: 1 | Loss:   0.9649 | w0: 1.0000 | r0: 0.4762 | st0: 1.0203 | sd0: 1.0056 | gamma0: 0.000000 | gamma_off | lr : 0.19094238 
Step: 2 | Loss:  78.8087 | w0: 1.0000 | r0: 0.1285 | st0: 0.9137 | sd0: 0.9962 | gamma0: 0.000000 | gamma_off | lr : 0.19094238 
Step: 0 | Loss:   1.0182 | w0: 1.0000 | r0: 0.2561 | st0: 0.8307 | sd0: 0.9986 | gamma0: 0.000000 | gamma_off | lr : 0.19011514 
Step: 1 | Loss:   0.7113 | w0: 1.0000 | r0: 0.4516 | st0: 1.0348 | sd0: 1.0107 | gamma0: 0.000000 | gamma_off | lr : 0.19011514 
Step: 2 | Loss:  96.9883 | w0: 1.0000 | r0: 0.1190 | st0: 0.9291 | sd0: 1.0001 | gamma0: 0.000000 | gamma_off | lr : 0.19011514 
Step: 0 | Loss:   6.4629 | w0: 1.0000 | r0: 0.2652 | st0: 0.8280 | sd0: 1.0029 | gamma0: 0.000000 | gamma_off | lr : 0.18925383 
Step: 1 | Loss:   2.2958 | w0: 1.0000 | r0: 0.4541 | st0: 1.0430 | sd0: 1.0128 | gamma0: 0.000000 | gamma_off | lr : 0.18925383 
Step: 2 | Loss: 126.6181 | w0: 1.0000 | r0: 0.1295 | st0: 0.9301 | sd0: 1.0003 | gamma0: 0.000000 | gamma_off | lr : 0.18925383 
Step: 0 | Loss:   5.1597 | w0: 1.0000 | r0: 0.2771 | st0: 0.8257 | sd0: 1.0024 | gamma0: 0.000000 | gamma_off | lr : 0.18835879 
Step: 1 | Loss:   2.5376 | w0: 1.0000 | r0: 0.4724 | st0: 1.0414 | sd0: 1.0117 | gamma0: 0.000000 | gamma_off | lr : 0.18835879 
Step: 2 | Loss: 104.0250 | w0: 1.0000 | r0: 0.1418 | st0: 0.9223 | sd0: 0.9985 | gamma0: 0.000000 | gamma_off | lr : 0.18835879 
Step: 0 | Loss:   0.7536 | w0: 1.0000 | r0: 0.2714 | st0: 0.8247 | sd0: 0.9994 | gamma0: 0.000000 | gamma_off | lr : 0.18743037 
Step: 1 | Loss:   1.3205 | w0: 1.0000 | r0: 0.5052 | st0: 1.0351 | sd0: 1.0082 | gamma0: 0.000000 | gamma_off | lr : 0.18743037 
Step: 2 | Loss: 100.1369 | w0: 1.0000 | r0: 0.1556 | st0: 0.9084 | sd0: 0.9948 | gamma0: 0.000000 | gamma_off | lr : 0.18743037 
Step: 0 | Loss:   8.3304 | w0: 1.0000 | r0: 0.2654 | st0: 0.8238 | sd0: 0.9957 | gamma0: 0.000000 | gamma_off | lr : 0.18646894 
Step: 1 | Loss:   1.3759 | w0: 1.0000 | r0: 0.5554 | st0: 1.0266 | sd0: 1.0046 | gamma0: 0.000000 | gamma_off | lr : 0.18646894 
Step: 2 | Loss:  99.1645 | w0: 1.0000 | r0: 0.1665 | st0: 0.8997 | sd0: 0.9941 | gamma0: 0.000000 | gamma_off | lr : 0.18646894 
Step: 0 | Loss:  14.9795 | w0: 1.0000 | r0: 0.2562 | st0: 0.8231 | sd0: 0.9942 | gamma0: 0.000000 | gamma_off | lr : 0.18547490 
Step: 1 | Loss:   2.4122 | w0: 1.0000 | r0: 0.5983 | st0: 1.0219 | sd0: 1.0041 | gamma0: 0.000000 | gamma_off | lr : 0.18547490 
Step: 2 | Loss:  97.6296 | w0: 1.0000 | r0: 0.1565 | st0: 0.9021 | sd0: 0.9957 | gamma0: 0.000000 | gamma_off | lr : 0.18547490 
